Task Name,Status,Priority,Due Date,Assignees,Tags,Estimated Time (hrs),Description
Create Facebook fan page — English Buddy LK,To Do,Normal,2026-06-14,,"phase-1,marketing",1,"Page name: English Buddy LK. Set CTA button to ""Try it now"" → englishbuddy.lk"
Record 15-second demo video for FB pinned post,To Do,Normal,2026-06-14,,"phase-1,marketing",1,Screen record a conversation with Alex. Add Sinhala captions. Pin to FB page.
Get 10 beta testers,To Do,Normal,2026-06-14,,"phase-1,marketing",1,"Share in WhatsApp groups and FB groups. Friends, family, tuition class contacts."
"Add age, level, native language fields to signup form",To Do,High,2026-07-01,,"phase-2,personalisation,frontend",2,"Fields: age (number), level (select: Beginner/Intermediate/Advanced), native_lang (Sinhala/Tamil/Other)"
Save user profile to Supabase users table,To Do,High,2026-07-01,,"phase-2,personalisation,backend",2,"Add columns to users table: age, level, native_language. Save on signup."
Inject user profile into AI system prompt in server.py,To Do,High,2026-07-01,,"phase-2,personalisation,backend",3,On each /proxy call: fetch user profile from Supabase. Add to system prompt before sending to Claude.
Write age-matched prompt variants (child / teen / adult),To Do,High,2026-07-07,,"phase-2,personalisation,ai",2,"Child (<13): very simple words, fun. Teen (13-18): casual, relatable. Adult (18+): natural conversation."
Write level-matched prompt variants (beginner / intermediate / advanced),To Do,High,2026-07-07,,"phase-2,personalisation,ai",2,"Beginner: short sentences, repeat words. Intermediate: normal. Advanced: natural idioms, speed."
Wire SVG avatar expressions to speech events in app,To Do,Normal,2026-07-07,,"phase-2,avatar,frontend",2,"talking→while speaking, nod→user finishes, thinking→waiting for AI, smile→positive reply, confused→mic error"
Add error highlighting — AI returns JSON errors alongside reply,To Do,High,2026-07-14,,"phase-2,errors,ai",4,"Prompt Claude to return {""reply"":""..."",""errors"":[{""word"":""..."",""correction"":""..."",""type"":""grammar""}]}"
Render coloured error spans in transcript UI,To Do,High,2026-07-14,,"phase-2,errors,frontend",3,"Grammar=orange, spelling=red, vocab=purple. Show correction on hover/tap."
Add Sinhala error explanations,To Do,Urgent,2026-07-14,,"phase-2,errors,sinhala",2,"Add to each error object: ""sinhala_tip"":""..."". Render below the highlighted word."
Add Tamil error explanations,To Do,Urgent,2026-07-14,,"phase-2,errors,tamil",2,Same as Sinhala but Tamil. Show based on user native_language field.
Build auto level-up detection (every 10 sessions),To Do,Normal,2026-08-01,,"phase-2,personalisation,ai",3,"Every 10 sessions: send transcript to Claude, ask to rate fluency 1-10. If >7.5 for 2 checks: upgrade level."
Build user progress dashboard,To Do,Normal,2026-08-01,,"phase-2,frontend",4,"Show: current streak, total sessions, topics practiced, current level, level progress bar."
Build shareable result card after each conversation,To Do,High,2026-09-01,,"phase-3,growth,frontend",3,"After convo ends: show card ""I talked to Alex for X mins about [topic]!"" with share buttons."
Add WhatsApp share button,To Do,High,2026-09-01,,"phase-3,growth,frontend",2,Use wa.me URL scheme: https://wa.me/?text=Machan+try+this+englishbuddy.lk. Pre-written message.
Add Facebook share button on result card,To Do,High,2026-09-01,,"phase-3,growth,frontend",2,Use FB sharer URL with the result card image or page URL.
Build referral system — unique link + 1 week free,To Do,Normal,2026-10-01,,"phase-3,growth,backend",4,Generate unique code per user. Track referrals in DB. On signup via code: add 7 days to referrer plan.
Generate streak badge images at 3/7/30 day milestones,To Do,Normal,2026-10-01,,"phase-3,growth,frontend",3,"Auto-generate canvas PNG badge. ""Day 7 streak with English Buddy!"" — shareable."
Build school registration — student adds school at signup,To Do,Normal,2026-11-01,,"phase-3,schools",3,Add school field to signup. Create schools table in Supabase. Allow free-text or dropdown of known schools.
Build public school leaderboard page,To Do,Normal,2026-11-01,,"phase-3,schools,frontend",4,Public page at /leaderboard. Shows top 20 schools by weekly conversation count.
Add abuse prevention on leaderboard,To Do,Normal,2026-11-01,,"phase-3,schools,backend",2,Rate limit convo counting. Flag suspicious spikes. Require verified email to count on board.
Build teacher dashboard,To Do,Normal,2026-12-01,,"phase-3,schools,frontend",5,"Pro tier feature. Teacher sees list of students, their session count, level, streak. Filter by week/month."
Add topic assignment for teachers,To Do,Normal,2026-12-01,,"phase-3,schools",3,Teacher can set required topic for student. App prompts student with assigned topic on login.
Export student progress as PDF,To Do,Low,2026-12-01,,"phase-3,schools",3,Download button on teacher dashboard. Generate PDF with student stats table.
Convert app to PWA,To Do,Normal,2026-12-01,,"phase-3,mobile",3,Add manifest.json and service worker. App installable on Android Chrome from browser.
Launch Facebook ads — LKR 500/day,To Do,High,2026-09-01,,"phase-3,marketing",1,"Target: Sri Lanka, age 15-25, interests: O/L exam, A/L exam, British Council, English learning. 7-day test."
Integrate ElevenLabs TTS — Pro tier premium voice,To Do,Normal,2027-01-01,,"phase-4,premium,voice",3,ElevenLabs API for natural voice output. Pro tier only. Fallback to browser TTS for free users.
Build real-time lip sync with Rhubarb,To Do,Normal,2027-02-01,,"phase-4,premium,avatar",8,Rhubarb Lip Sync maps audio to phoneme mouth shapes. Drive SVG mouth animation frame-by-frame.
Integrate D-ID API for photorealistic avatar,To Do,Normal,2027-02-01,,"phase-4,premium,avatar",5,D-ID API: upload face photo + audio → receive talking video. Pro tier. Handle 2-5s latency.
Build job interview prep mode,To Do,Normal,2027-03-01,,"phase-4,premium",5,Structured scenario: Alex plays interviewer. Asks common questions. Gives feedback on answers. Track performance.
Add IELTS speaking practice topic set,To Do,Normal,2027-03-01,,"phase-4,premium",3,"IELTS Part 1/2/3 question sets. Timer. Alex scores fluency, vocabulary, grammar, pronunciation (AI-rated)."
Set up error monitoring with Sentry,To Do,Normal,2027-01-01,,"phase-4,devops",2,sentry.io free tier. Catch unhandled Python exceptions in server.py and JS errors in browser.
Add DB connection pooling for scale,To Do,Normal,2027-01-01,,"phase-4,devops",3,Use Supabase connection pooler (PgBouncer). Required when >100 concurrent users hit server.py.
Localise app for Bangladesh — Bengali error tips,To Do,Low,2027-04-01,,"phase-4,expansion",4,Duplicate topic prompts. Add Bengali error explanations. Register new domain. Deploy separate instance.
Localise app for Nepal — Nepali error tips,To Do,Low,2027-06-01,,"phase-4,expansion",4,Same as Bangladesh but Nepali language. Target Kathmandu students.
